Mark,Model,Year,Body_type,Color,Capacity,HorsePowers,EngineType,Transmission,Mileage,Is_new,Price
Kia,Optima,2012,Sedan,Ağ,2.0,-0.4022483881332116,Benzin,Avtomat,0.4144659035964698,Xeyr,14470.588235294119
Mercedes,GLS 450,2020,Offroader / SUV,Ağ,3.0,1.7172984152765212,Benzin,Avtomat,-1.3667345016574428,Xeyr,98500.0
BMW,530,2019,Sedan,Boz,2.0,0.5940362844372619,Benzin,Avtomat,-1.090090297026726,Xeyr,47700.0
LADA (VAZ),2106,2005,Sedan,Ağ,1.5,-1.2324856152752728,Benzin,Mexaniki,-1.3036402093732444,Xeyr,2882.3529411764707
Chevrolet,Cruze,2012,Sedan,Ağ,1.6,-0.7636457693597559,Benzin,Mexaniki,2.229640158541874,Xeyr,7647.058823529412
Mercedes,E 220,2007,Sedan,Ağ,2.2,-0.20689845233507956,Dizel,Avtomat,1.3948541375509396,Xeyr,13235.29411764706
Hyundai,Staria,2023,Minivan,Qara,2.2,-0.13852597480573334,Dizel,Avtomat,-1.4783628649294864,Bəli,69500.0
Toyota,RAV4,2023,Offroader / SUV,Ağ,2.5,0.2619413935804374,Hibrid,Avtomat,-1.4783628649294864,Bəli,49540.0
Land Rover,Discovery,2015,Offroader / SUV,Qırmızı,2.2,-0.011548516536947492,Dizel,Avtomat,-0.23589064764065362,Xeyr,31000.0
Hyundai,ix35,2014,Offroader / SUV,Ağ,2.0,-0.24596843949470595,Benzin,Avtomat,-0.3911996748017577,Xeyr,17470.58823529412
Chevrolet,Cruze,2012,Sedan,Qara,1.4,-0.4999233560322776,Benzin,Avtomat,1.5629955730812297,Xeyr,7823.529411764706
Mercedes,E 240,1999,Sedan,Göy,2.4,-0.20689845233507956,Benzin,Avtomat,1.5307495363169055,Xeyr,7823.529411764706
Hyundai,Santa Fe,2014,Offroader / SUV,Ağ,2.0,-0.0701534972763871,Dizel,Avtomat,-0.09028843467711853,Xeyr,21117.64705882353
Kia,Rio,2006,Hetçbek,Narıncı,1.4,-0.9199257179982616,Benzin,Mexaniki,0.4435863461891768,Xeyr,6058.823529411765
Toyota,Prius,2005,Liftbek,Mavi,1.5,-1.1250431505863003,Hibrid,Avtomat,0.27192133710516897,Xeyr,8000.0
