Mark,Model,Year,Body_type,Color,Capacity,HorsePowers,EngineType,Transmission,Mileage,Is_new,Price
Mercedes,CLS 350,2004,Sedan,Ağ,3.5,0.789386220235394,Benzin,Avtomat,0.48241360297945285,Xeyr,12294.117647058823
Opel,Astra,1998,Universal,Yaşıl,1.6,-0.8808557308386351,Benzin,Mexaniki,2.190812901751598,Xeyr,4823.529411764706
Kia,Cerato,2015,Sedan,Qara,2.0,-0.4022483881332116,Benzin,Avtomat,-0.5338898435060221,Xeyr,12176.470588235294
Kia,Optima,2013,Sedan,Ağ,2.0,-0.25573593628461255,Benzin,Avtomat,0.3234839341226555,Xeyr,14058.823529411766
Mercedes,GL 450,2006,Offroader / SUV,Qara,4.7,1.453576001949043,Benzin,Avtomat,1.1987764907600456,Xeyr,14529.411764705883
Hyundai,Sonata,2014,Sedan,Qara,2.0,0.8089212138152072,Benzin,Avtomat,-0.5969841357902207,Xeyr,14058.823529411766
Hyundai,Elantra,2014,Sedan,Göy,1.8,-0.4022483881332116,Benzin,Avtomat,-0.23783201048016742,Xeyr,12764.705882352942
Kia,Rio,2012,Hetçbek,Yaş Asfalt,1.4,-0.8222507500991956,Benzin,Avtomat,1.0551156406360243,Xeyr,9882.35294117647
BMW,530,2007,Sedan,Boz,3.0,0.789386220235394,Benzin,Avtomat,1.2201314819946973,Xeyr,9705.882352941177
BMW,528,2016,Sedan,Qara,2.0,0.5256638069079157,Benzin,Avtomat,0.4727067887818838,Xeyr,22500.0
Land Rover,Range Rover,2019,Offroader / SUV,Ağ,3.0,1.648925937747175,Benzin,Avtomat,-0.9833153408534672,Xeyr,112000.0
LADA (VAZ),2106,1999,Sedan,Ağ,1.5,-1.2324856152752728,Benzin,Mexaniki,-1.0829752022199082,Xeyr,3705.8823529411766
Land Rover,RR Evoque,2018,Offroader / SUV,Göy,2.0,0.6331062715968883,Benzin,Avtomat,-0.9930221550510361,Xeyr,44000.0
Kia,Rio,2012,Hetçbek,Qara,1.4,-0.8222507500991956,Benzin,Avtomat,-0.29583022531064224,Xeyr,10411.764705882353
BMW,X6,2017,Offroader / SUV,Boz,3.0,1.1214811110922185,Benzin,Avtomat,-0.934781269865622,Xeyr,58000.0
Hyundai,Elantra,2019,Sedan,Qara,1.6,-0.5780633303515305,Benzin,Avtomat,-0.789179056902087,Xeyr,18117.64705882353
Chevrolet,Cruze,2010,Sedan,Gümüşü,1.4,-0.49015585924237104,Benzin,Avtomat,0.6668430727332639,Xeyr,7470.588235294118
Nissan,Note,2015,Hetçbek,Qara,1.2,-0.910158221208355,Benzin,Avtomat,-1.1968652531999853,Xeyr,9117.64705882353
Hyundai,Sonata,2010,Sedan,Ağ,2.4,-0.16782846517545313,Benzin,Avtomat,1.032100784173588,Xeyr,12352.94117647059
BMW,528,2015,Sedan,Qara,2.0,0.5256638069079157,Benzin,Avtomat,-0.22618383344308463,Xeyr,25600.0
Toyota,Prius,2006,Liftbek,Yaş Asfalt,1.5,-1.1250431505863003,Hibrid,Avtomat,0.5600681165600049,Xeyr,8705.882352941177
Toyota,Prado,2012,Offroader / SUV,Ağ,2.7,-0.23620094270479935,Benzin,Avtomat,-0.17599960404165285,Xeyr,29900.0
Kia,Sorento,2010,Offroader / SUV,Göy,2.0,-0.0701534972763871,Dizel,Avtomat,0.4989151871153202,Xeyr,16764.70588235294
Hyundai,Santa Fe,2012,Offroader / SUV,Yaş Asfalt,2.0,-0.0701534972763871,Dizel,Avtomat,0.5794817449551429,Xeyr,19647.058823529413
LADA (VAZ),Priora,2014,Sedan,Ağ,1.6,-0.8320182468891021,Benzin,Mexaniki,-0.6390825889650774,Xeyr,9882.35294117647
Nissan,Qashqai,2009,Offroader / SUV,Qara,2.0,-0.4999233560322776,Benzin,Avtomat,0.33875275285543155,Xeyr,10176.470588235294
Hyundai,Elantra,2011,Sedan,Boz,1.8,-0.4022483881332116,Benzin,Avtomat,0.7977006349306918,Xeyr,11117.64705882353
Kia,Sorento,2010,Offroader / SUV,Yaş Asfalt,2.0,-0.0701534972763871,Dizel,Avtomat,0.25268243136558716,Xeyr,15764.705882352942
Kia,Optima,2012,Sedan,Yaş Asfalt,2.0,0.8089212138152072,Benzin,Avtomat,0.4435863461891768,Xeyr,13411.764705882353
Hyundai,Elantra,2012,Sedan,Yaş Asfalt,1.8,-0.4022483881332116,Benzin,Avtomat,1.0259951980433173,Xeyr,12941.176470588236
BMW,528,2014,Sedan,Ağ,2.0,0.5256638069079157,Benzin,Avtomat,0.17179554865724464,Xeyr,18176.470588235294
Toyota,Yaris Cross,2022,Offroader / SUV,Göy,1.5,-0.7538782725698493,Hibrid,Avtomat,-1.4783628649294864,Bəli,26800.0
Kia,Ceed,2010,Universal,Yaş Asfalt,1.4,-0.9882981955276078,Benzin,Mexaniki,-0.051461177886842506,Xeyr,9647.058823529413
LADA (VAZ),Niva,1998,Hetçbek,Göy,1.7,-1.0859731634266738,Benzin,Mexaniki,2.4762514800453124,Xeyr,3235.294117647059
Hyundai,Santa Fe,2010,Offroader / SUV,Yaş Asfalt,2.0,-0.0701534972763871,Dizel,Avtomat,0.01891322504553279,Xeyr,15264.705882352942
BMW,X6,2011,Offroader / SUV,Qara,4.4,2.1079982868727853,Benzin,Avtomat,0.026193335693709546,Xeyr,25800.0
Land Rover,Range Rover,2008,Offroader / SUV,Gümüşü,4.2,2.000555822183813,Benzin,Avtomat,1.1424769684141454,Xeyr,25500.0
Land Rover,Range Rover,2013,Offroader / SUV,Qara,5.0,3.1140504562331652,Benzin,Avtomat,-0.21647701924551563,Xeyr,34500.0
Land Rover,Range Rover,2012,Offroader / SUV,Ağ,5.0,3.1140504562331652,Benzin,Avtomat,-0.5270950735677238,Xeyr,42900.0
Toyota,Prado,2005,Offroader / SUV,Qara,2.7,-0.23620094270479935,Benzin,Avtomat,0.3756386468061938,Xeyr,14647.058823529413
BMW,X5,2020,Offroader / SUV,Qara,3.0,1.453576001949043,Benzin,Avtomat,-1.3531449617808462,Xeyr,85000.0
Toyota,Camry,2015,Sedan,Ağ,3.5,0.838223704184927,Benzin,Avtomat,0.17179554865724464,Xeyr,26500.0
BMW,528,2015,Sedan,Göy,2.0,0.5256638069079157,Benzin,Avtomat,-0.09480210327898812,Xeyr,22500.0
Kia,Sorento,2011,Offroader / SUV,Qara,2.4,-0.15806096838554654,Benzin,Avtomat,0.22032961964508968,Xeyr,15588.235294117647
Mercedes,E 350,2009,Sedan,Qara,3.5,0.789386220235394,Benzin,Avtomat,0.2688636906329347,Xeyr,18800.0
Land Rover,Range Rover,2008,Offroader / SUV,Gümüşü,4.2,2.000555822183813,Benzin,Avtomat,1.1424769684141454,Xeyr,25500.0
Land Rover,Range Rover,2013,Offroader / SUV,Qara,5.0,3.1140504562331652,Benzin,Avtomat,-0.21647701924551563,Xeyr,34500.0
Chevrolet,Cruze,2011,Sedan,Göy,1.4,-0.49015585924237104,Benzin,Avtomat,0.33681139001591776,Xeyr,7529.411764705883
Toyota,Camry,2018,Sedan,Qara,2.5,-0.09945598764610691,Benzin,Avtomat,-0.5659223303579999,Xeyr,31800.0
Toyota,RAV4,2023,Offroader / SUV,Qara,2.0,0.13496393531165155,Benzin,Avtomat,-1.4783628649294864,Bəli,39300.0
Land Rover,Discovery,2016,Offroader / SUV,Qara,3.0,1.1214811110922185,Dizel,Avtomat,0.4435863461891768,Xeyr,35800.0
Land Rover,Range Rover,2011,Offroader / SUV,Qara,5.0,3.1140504562331652,Benzin,Avtomat,-0.13882250566496357,Xeyr,29200.0
LADA (VAZ),2107,2010,Sedan,Qara,1.6,-1.1348106473762067,Benzin,Mexaniki,-0.7445277115932696,Xeyr,3470.5882352941176
Opel,Astra,1999,Universal,Göy,1.6,-0.8906232276285417,Benzin,Mexaniki,1.3366132523655254,Xeyr,5176.470588235295
Nissan,X-Trail,2004,Offroader / SUV,Gümüşü,2.0,-0.4022483881332116,Benzin,Avtomat,0.657136258535695,Xeyr,7941.176470588235
Hyundai,i30,2012,Universal,Boz,1.4,-0.9882981955276078,Dizel,Mexaniki,0.5697749307575739,Xeyr,10647.058823529413
Chevrolet,Cruze,2014,Sedan,Göy,1.4,-0.4999233560322776,Benzin,Avtomat,0.03590014989127855,Xeyr,7941.176470588235
Mercedes,B 170,2007,Hetçbek,Gümüşü,1.7,-0.7343432789900362,Benzin,Avtomat,1.3851473233533704,Xeyr,7529.411764705883
Toyota,Prius,2007,Liftbek,Qara,1.5,-1.1250431505863003,Hibrid,Variator,0.1125839820520737,Xeyr,9352.94117647059
LADA (VAZ),2107,2011,Sedan,Qəhvəyi,1.6,-1.1348106473762067,Benzin,Mexaniki,-1.2738014625299172,Xeyr,3117.6470588235293
Toyota,Camry,2006,Sedan,Gümüşü,2.4,-0.23620094270479935,Benzin,Avtomat,1.0842360832287312,Xeyr,10882.35294117647
Kia,Optima,2014,Sedan,Gümüşü,2.0,0.8089212138152072,Benzin,Avtomat,0.2979841332256417,Xeyr,14000.0
Hyundai,Santa Fe,2015,Offroader / SUV,Qara,2.0,-0.0701534972763871,Dizel,Avtomat,0.754204400511385,Xeyr,21352.941176470587
Mercedes,E 300,2008,Sedan,Ağ,3.0,0.19356891605109117,Benzin,Avtomat,0.4833842843992098,Xeyr,14647.058823529413
Mercedes,E 300 de,2021,Sedan,Qara,2.0,1.1214811110922185,Plug-in Hibrid,Avtomat,-1.3133470235708133,Xeyr,61500.0
Mercedes,E 220,2018,Sedan,Boz,2.2,0.02752147062267892,Dizel,Avtomat,0.18150236285481364,Xeyr,44000.0
Nissan,Tiida,2013,Hetçbek,Qızılı,1.5,-0.8027157565193823,Benzin,Avtomat,-1.1192107396194333,Xeyr,8588.235294117647
Mercedes,GLE 53 AMG Coupe,2022,Offroader / SUV,Yaş Asfalt,3.0,2.3814881969901704,Benzin,Avtomat,-1.4783628649294864,Bəli,136999.0
Hyundai,Santa Fe,2013,Offroader / SUV,Ağ,2.0,-0.0701534972763871,Dizel,Avtomat,0.32710457581834873,Xeyr,20470.58823529412
Kia,Sorento,2011,Offroader / SUV,Yaş Asfalt,2.0,-0.0701534972763871,Dizel,Avtomat,0.2494500622377967,Xeyr,17058.823529411766
Toyota,Camry,2023,Sedan,Qara,2.5,0.2619413935804374,Hibrid,Avtomat,-1.4783628649294864,Bəli,41600.0
LADA (VAZ),Niva,2014,Offroader / SUV,Qara,1.7,-1.0859731634266738,Benzin,Mexaniki,0.3659318326086248,Xeyr,7529.411764705883
Land Rover,RR Sport,2007,Offroader / SUV,Ağ,3.6,0.789386220235394,Dizel,Avtomat,0.15238192026210662,Xeyr,21000.0
Kia,Ceed,2009,Universal,Qara,1.6,-0.7441107757799427,Dizel,Avtomat,0.12326147766939961,Xeyr,11470.588235294117
Land Rover,Range Rover,2013,Offroader / SUV,Qara,5.0,3.1140504562331652,Benzin,Avtomat,-0.002927106898997473,Xeyr,56000.0
Mercedes,S 500 4Matic,2023,Sedan,Qara,3.0,2.3814881969901704,Benzin,Avtomat,-1.4783628649294864,Bəli,204660.0
Mercedes,E 220,2018,Sedan,Boz,2.2,0.02752147062267892,Dizel,Avtomat,0.18150236285481364,Xeyr,44000.0
Hyundai,Sonata,2012,Sedan,Göy,2.0,-0.25573593628461255,Benzin,Avtomat,-0.22618383344308463,Xeyr,12058.823529411766
Kia,Soul,2010,Hetçbek,Qara,2.0,-0.4803883624524644,Benzin,Avtomat,-0.0417543636892735,Xeyr,11352.94117647059
Hyundai,Santa Fe,2013,Offroader / SUV,Ağ,2.0,-0.0701534972763871,Dizel,Avtomat,0.6631544833381877,Xeyr,18529.41176470588
Kia,Sorento,2012,Offroader / SUV,Gümüşü,2.0,-0.0701534972763871,Dizel,Avtomat,0.043034658326491775,Xeyr,20235.29411764706
Hyundai,Sonata,2008,Sedan,Qara,2.0,-0.45108587208274464,Benzin,Avtomat,0.9483406844627652,Xeyr,11000.0
Mercedes,E 270,2003,Sedan,Gümüşü,2.7,-0.13852597480573334,Dizel,Avtomat,1.7578889885400204,Xeyr,9705.882352941177
Hyundai,Coupe,2008,Kupe,Qırmızı,2.7,-0.23620094270479935,Benzin,Avtomat,1.3366132523655254,Xeyr,4294.117647058823
Mercedes,E 220,2005,Universal,Gümüşü,2.2,-0.4022483881332116,Dizel,Avtomat,1.0638517734138364,Xeyr,11058.823529411766
Mercedes,Sprinter 412,2000,Mikroavtobus,Ağ,2.9,-0.6757382982505965,Dizel,Mexaniki,0.3682032271308559,Xeyr,14705.882352941177
Hyundai,Santa Fe,2018,Offroader / SUV,Göy,2.4,-0.060386000486480504,Benzin,Avtomat,-0.10611054181915601,Xeyr,26800.0
BMW,M5,2012,Sedan,Göy,4.4,3.6024252957284957,Benzin,Avtomat,-0.4591473741847408,Xeyr,35000.0
Mercedes,Vito 111,2008,Furqon,Ağ,2.2,-0.7343432789900362,Dizel,Mexaniki,1.9190221042196658,Xeyr,10882.35294117647
Opel,Astra,2008,Universal,Boz,1.3,-0.9882981955276078,Dizel,Mexaniki,1.6227118940246743,Xeyr,6647.058823529412
Hyundai,Santa Fe,2015,Offroader / SUV,Ağ,2.0,-0.0701534972763871,Dizel,Avtomat,0.3184752179967099,Xeyr,19705.88235294118
Toyota,Prado,2018,Offroader / SUV,Qara,2.7,-0.27527092986442575,Benzin,Avtomat,-0.6435768439385519,Xeyr,43800.0
Toyota,Izoa,2022,Offroader / SUV,Ağ,0.0,-0.20689845233507956,Elektro,Avtomat,-1.4783628649294864,Bəli,28900.0
Nissan,X-Trail,2010,Offroader / SUV,Ağ,2.5,-0.20689845233507956,Benzin,Variator,0.9095134276724891,Xeyr,15000.0
Mercedes,E 240,2003,Sedan,Gümüşü,2.6,-0.13852597480573334,Benzin,Avtomat,1.5937467604591284,Xeyr,10588.235294117647
Mercedes,C 230,2000,Sedan,Qızılı,2.3,0.01775397383277232,Benzin,Avtomat,0.9871679412530412,Xeyr,8000.0
Toyota,bZ4X,2022,Offroader / SUV,Qara,0.0,0.12519643852174495,Elektro,Avtomat,-1.4783628649294864,Bəli,44000.0
Land Rover,Discovery,2015,Offroader / SUV,Qara,3.0,1.453576001949043,Benzin,Avtomat,-0.18735657665280858,Xeyr,37800.0
Kia,Seltos,2020,Offroader / SUV,Ağ,1.6,-0.6659708014606899,Dizel,Avtomat,-0.828006313692363,Xeyr,24823.529411764706
BMW,328,2012,Sedan,Tünd qırmızı,2.0,0.5256638069079157,Benzin,Avtomat,0.47173610736212696,Xeyr,18529.41176470588
Hyundai,Grandeur,2012,Sedan,Qara,2.4,-0.10922348443601353,Benzin,Avtomat,0.3659318326086248,Xeyr,15235.29411764706
Nissan,Patrol,2023,Offroader / SUV,Qara,4.0,0.8186887106051137,Benzin,Avtomat,-1.4783628649294864,Bəli,112500.0
Mercedes,E 350,2006,Sedan,Qara,3.5,0.789386220235394,Benzin,Avtomat,0.5697749307575739,Xeyr,13411.764705882353
Kia,Sorento,2009,Offroader / SUV,Yaş Asfalt,2.0,-0.0701534972763871,Dizel,Avtomat,0.4144659035964698,Xeyr,15235.29411764706
BMW,525,2006,Sedan,Gümüşü,2.5,0.2619413935804374,Benzin,Avtomat,0.8512725424870751,Xeyr,15500.0
Mercedes,GLA 250,2021,Offroader / SUV,Qara,2.0,0.320546374319877,Plug-in Hibrid,Avtomat,-1.3473208732623048,Xeyr,51000.0
Mercedes,C 230,2000,Sedan,Qızılı,2.3,0.01775397383277232,Benzin,Avtomat,0.9871679412530412,Xeyr,8000.0
Toyota,bZ4X,2022,Offroader / SUV,Qara,0.0,0.12519643852174495,Elektro,Avtomat,-1.4783628649294864,Bəli,44000.0
BMW,X5,2007,Offroader / SUV,Qara,4.8,1.600088453797642,Benzin,Avtomat,-0.1679429482576706,Xeyr,20000.0
BMW,530,2000,Sedan,Qara,3.0,0.3889188518492232,Benzin,Avtomat,-0.26501109023336067,Xeyr,7823.529411764706
LADA (VAZ),Niva,2022,Offroader / SUV,Qara,1.7,-1.056670673056954,Benzin,Mexaniki,-1.3812947229537964,Xeyr,12823.529411764706
Hyundai,Santa Fe,2012,Offroader / SUV,Yaş Asfalt,2.0,-0.0701534972763871,Dizel,Avtomat,0.13393897328672552,Xeyr,20294.117647058825
LADA (VAZ),2115,2007,Sedan,Qara,1.5,-1.105508157006487,Benzin,Mexaniki,2.889703523976566,Xeyr,4117.64705882353
Toyota,Highlander,2022,Offroader / SUV,Qəhvəyi,2.5,0.5647337940675421,Hibrid,Avtomat,-1.4463303780775087,Xeyr,69000.0
Chevrolet,Cruze,2012,Sedan,Qara,1.4,-0.4999233560322776,Benzin,Avtomat,-0.1066152961574296,Xeyr,8705.882352941177
Hyundai,Elantra,2022,Sedan,Mavi,2.0,0.8284562073950203,Benzin,Robotlaşdırılmış,-1.4492424223367795,Xeyr,35500.0
Toyota,Land Cruiser,2013,Offroader / SUV,Ağ,4.0,0.88706118813446,Benzin,Avtomat,-1.0704534119050442,Xeyr,46500.0
BMW,323,2006,Sedan,Ağ,2.5,-0.20689845233507956,Benzin,Avtomat,-0.3426656038139127,Xeyr,11176.470588235294
BMW,525,1997,Sedan,Qara,2.5,0.007986477042865715,Benzin,Avtomat,2.210226530146736,Xeyr,5764.705882352941
Mercedes,E 300 e,2021,Sedan,Yaş Asfalt,2.0,1.2582260661509108,Plug-in Hibrid,Avtomat,-1.409143572886622,Xeyr,59000.0
Mercedes,E 200,2021,Sedan,Qara,2.0,0.05682396099239873,Benzin,Avtomat,-1.2939333951756753,Xeyr,56500.0
Toyota,Prius,2008,Liftbek,Yaş Asfalt,1.5,-1.1250431505863003,Hibrid,Avtomat,2.8019539236305424,Xeyr,9882.35294117647
Mercedes,C 200,2001,Sedan,Qara,2.0,-0.27527092986442575,Benzin,Avtomat,1.1618905968092832,Xeyr,6535.882352941177
Kia,Sportage,2023,Offroader / SUV,Ağ,1.6,-0.5194583496120908,Dizel,Avtomat,-1.4783628649294864,Bəli,37000.0
Mercedes,C 220,1999,Sedan,Göy,2.2,-0.6464358078808767,Dizel,Avtomat,0.8998066134749201,Xeyr,7588.235294117647
Kia,Niro,2023,Offroader / SUV,Boz,1.6,-0.5389933431919041,Hibrid,Avtomat,-1.4783628649294864,Bəli,30529.411764705885
Mercedes,GL 500,2011,Offroader / SUV,Ağ,5.5,1.9224158478645599,Benzin,Avtomat,-0.2048288422084328,Xeyr,22500.0
Kia,Sorento,2015,Offroader / SUV,Ağ,2.0,-0.0701534972763871,Dizel,Avtomat,-0.01263392109656648,Xeyr,22823.529411764706
Mercedes,G 63 AMG,2022,Offroader / SUV,Göy,4.0,3.8466127154761605,Benzin,Avtomat,-1.4783628649294864,Bəli,299900.0
Nissan,Tiida,2012,Hetçbek,Qızılı,1.5,-0.8027157565193823,Benzin,Avtomat,-1.0706766686315883,Xeyr,8588.235294117647
Toyota,Highlander,2022,Offroader / SUV,Gümüşü,2.5,0.5647337940675421,Hibrid,Avtomat,-1.4783628649294864,Bəli,56000.0
BMW,430,2018,Liftbek,Gümüşü,2.0,0.5940362844372619,Benzin,Avtomat,-0.5270950735677238,Xeyr,25000.0
BMW,750,2010,Sedan,Qara,4.4,2.1079982868727853,Benzin,Avtomat,0.6668430727332639,Xeyr,15235.29411764706
LADA (VAZ),Niva,2015,Offroader / SUV,Göy,1.7,-1.0859731634266738,Benzin,Mexaniki,-0.3135451612212057,Xeyr,7176.470588235295
Mercedes,S 500 4Matic,2023,Sedan,Qara,3.0,2.3814881969901704,Benzin,Avtomat,-1.4783628649294864,Bəli,204660.0
Land Rover,Range Rover,2015,Offroader / SUV,Qara,3.0,1.453576001949043,Benzin,Avtomat,-0.07087480628198052,Xeyr,61000.0
BMW,530e,2020,Sedan,Qara,2.0,0.984736156033526,Plug-in Hibrid,Avtomat,-0.9590483053595447,Xeyr,48500.0
Land Rover,RR Evoque,2015,Offroader / SUV,Qara,2.0,0.4768263229583827,Benzin,Avtomat,0.09942154200017013,Xeyr,27900.0
Kia,Seltos,2023,Offroader / SUV,Yaşıl,2.0,-0.4120158849231182,Benzin,Avtomat,-1.4783628649294864,Bəli,30235.29411764706
Kia,Cerato,2013,Sedan,Ağ,1.6,-0.6562033046707832,Dizel,Avtomat,0.44602275655276663,Xeyr,13117.64705882353
Toyota,Land Cruiser,1999,Offroader / SUV,Yaşıl,4.5,0.20333641284099777,Benzin,Mexaniki,0.6668430727332639,Xeyr,9764.70588235294
Kia,Sportage,2023,Offroader / SUV,Boz,2.0,-0.4022483881332116,Benzin,Avtomat,-1.4783628649294864,Bəli,36411.76470588236
BMW,525,2008,Sedan,Qara,2.5,0.2619413935804374,Benzin,Avtomat,0.9677543128579031,Xeyr,11058.823529411766
Kia,Stonic,2023,Offroader / SUV,Ağ,1.4,-0.8906232276285417,Benzin,Avtomat,-1.4783628649294864,Bəli,20529.411764705885
Kia,K2700,2023,Yük maşını,Ağ,2.7,-0.5975983239313437,Dizel,Mexaniki,-1.4783628649294864,Bəli,19941.176470588234
Kia,Cerato,2022,Sedan,Boz,1.6,-0.6171333175111569,Benzin,Avtomat,-1.4783628649294864,Bəli,23529.411764705885
Toyota,Camry,2013,Sedan,Yaş Asfalt,2.5,-0.09945598764610691,Benzin,Avtomat,-0.5115641708516134,Xeyr,15235.29411764706
Nissan,Maxima,2004,Sedan,Qara,3.0,0.08612645136211854,Benzin,Avtomat,0.8221520998943681,Xeyr,5588.235294117647
BMW,530,2006,Sedan,Qara,3.0,0.6526412651767015,Benzin,Avtomat,2.239346972739443,Xeyr,10764.705882352942
Mercedes,E 220,2014,Sedan,Qara,2.2,-0.20689845233507956,Dizel,Avtomat,0.8912160829100716,Xeyr,24850.0
Nissan,Tiida,2013,Hetçbek,Qara,1.5,-0.7929482597294757,Benzin,Avtomat,-0.9153676414704841,Xeyr,8294.117647058823
Hyundai,i30,2008,Universal,Göy,1.6,-0.7441107757799427,Dizel,Avtomat,-0.07087480628198052,Xeyr,10411.764705882353
Kia,Ceed,2007,Universal,Yaş Asfalt,1.6,-0.7441107757799427,Dizel,Mexaniki,0.8512725424870751,Xeyr,8235.29411764706
BMW,X5,2013,Offroader / SUV,Yaş Asfalt,3.0,1.1214811110922185,Benzin,Avtomat,-0.5804825516543534,Xeyr,36000.0
LADA (VAZ),2107,1997,Sedan,Bej,1.5,-1.2324856152752728,Benzin,Mexaniki,-0.6273082233434263,Xeyr,2352.9411764705883
Hyundai,Tucson,2016,Offroader / SUV,Ağ,2.0,-0.4022483881332116,Benzin,Avtomat,-0.5934799758648982,Xeyr,19294.117647058825
Toyota,Prado,2008,Offroader / SUV,Qara,2.7,-0.27527092986442575,Benzin,Avtomat,0.2688636906329347,Xeyr,19588.235294117647
BMW,X7,2023,Offroader / SUV,Qara,3.0,1.844275873545307,Benzin,Avtomat,-1.4783628649294864,Bəli,154000.0
Toyota,Land Cruiser,2012,Offroader / SUV,Ağ,4.0,0.88706118813446,Benzin,Avtomat,1.9675561752075108,Xeyr,32900.0
Kia,Sportage,2014,Offroader / SUV,Qara,2.4,-0.14829347159563994,Benzin,Avtomat,-0.4979746309750168,Xeyr,17941.176470588234
Land Rover,Discovery Sport,2016,Offroader / SUV,Yaşıl,2.0,0.4768263229583827,Benzin,Avtomat,-0.17764976245523958,Xeyr,24500.0
Mercedes,ML 270,2003,Offroader / SUV,Gümüşü,2.7,-0.27527092986442575,Dizel,Avtomat,2.4140696282956853,Xeyr,10294.117647058823
Hyundai,Elantra,2021,Sedan,Yaşıl,1.6,-0.5780633303515305,Benzin,Avtomat,-1.3084936164720289,Xeyr,21470.58823529412
Hyundai,Santa Fe,2012,Offroader / SUV,Ağ,2.0,-0.0701534972763871,Dizel,Avtomat,0.18150236285481364,Xeyr,20882.352941176472
Hyundai,Tucson,2016,Offroader / SUV,Ağ,2.0,-0.4022483881332116,Benzin,Avtomat,-0.5934799758648982,Xeyr,19294.117647058825
Chevrolet,Malibu,2016,Sedan,Boz,1.5,-0.3045734202341456,Benzin,Avtomat,1.021093256873545,Xeyr,10294.117647058823
Opel,Astra,2011,Universal,Gümüşü,1.3,-0.9882981955276078,Dizel,Mexaniki,0.8847610514686882,Xeyr,9352.94117647059
Kia,Ceed,2008,Hetçbek,Ağ,1.4,-0.9882981955276078,Benzin,Mexaniki,0.5794817449551429,Xeyr,6941.176470588235
BMW,X5,2003,Offroader / SUV,Qara,3.0,0.2619413935804374,Dizel,Avtomat,2.8120490103960143,Xeyr,11764.705882352942
Kia,Soul,2012,Hetçbek,Tünd qırmızı,2.0,-0.2655034330745192,Benzin,Avtomat,-0.11940887726982555,Xeyr,10470.588235294117
BMW,X7,2020,Offroader / SUV,Qara,4.4,3.3094003920312973,Benzin,Avtomat,-1.3618810945586584,Xeyr,145000.0
Toyota,Prado,2007,Offroader / SUV,Qara,4.0,0.5647337940675421,Benzin,Avtomat,0.7304712397983288,Xeyr,22352.941176470587
LADA (VAZ),Niva,2002,Offroader / SUV,Ağ,1.7,-1.0859731634266738,Benzin,Mexaniki,0.9483406844627652,Xeyr,3117.6470588235293
Chevrolet,Cruze,2012,Sedan,Göy,1.4,-0.49015585924237104,Benzin,Avtomat,0.9968747554506102,Xeyr,7000.0
Toyota,Corolla,2016,Sedan,Yaş Asfalt,1.6,-0.6562033046707832,Benzin,Avtomat,0.03590014989127855,Xeyr,16764.70588235294
Mercedes,E 240,1999,Sedan,Gümüşü,2.4,-0.20689845233507956,Benzin,Avtomat,0.7683375219830455,Xeyr,7176.470588235295
Chevrolet,Cruze,2015,Sedan,Göy,1.4,-0.4999233560322776,Benzin,Avtomat,-0.22618383344308463,Xeyr,8941.176470588236
BMW,650,2012,Sedan,Ağ,4.4,2.5280006488387694,Benzin,Avtomat,-0.3135451612212057,Xeyr,38000.0
Kia,Sorento,2017,Offroader / SUV,Qara,2.0,0.7210137427060477,Dizel,Avtomat,-1.0810144257519991,Xeyr,26470.58823529412
Mercedes,C 240,1999,Sedan,Gümüşü,2.4,-0.20689845233507956,Benzin,Avtomat,2.5014309560738064,Xeyr,8705.882352941177
Hyundai,Santa Fe,2010,Offroader / SUV,Gümüşü,2.0,-0.0701534972763871,Dizel,Avtomat,0.12326147766939961,Xeyr,15235.29411764706
LADA (VAZ),2107,2005,Sedan,Ağ,1.6,-1.1348106473762067,Benzin,Mexaniki,-0.21647701924551563,Xeyr,3529.4117647058824
Land Rover,Discovery,2013,Offroader / SUV,Qara,5.0,1.795438389595774,Benzin,Avtomat,-0.19345245596888194,Xeyr,29552.941176470587
Hyundai,Sonata,2023,Sedan,Qara,2.0,0.007986477042865715,Hibrid,Avtomat,-1.4783628649294864,Bəli,37000.0
Toyota,Prado,2008,Offroader / SUV,Ağ,2.7,-0.27527092986442575,Benzin,Avtomat,-0.14367591276374805,Xeyr,21764.70588235294
Toyota,RAV4,2021,Offroader / SUV,Qara,2.0,-0.15806096838554654,Benzin,Avtomat,-1.364793138817929,Xeyr,40000.0
BMW,328,2015,Sedan,Ağ,2.0,0.5256638069079157,Dizel,Avtomat,-0.06341997297824752,Xeyr,18000.0
Land Rover,Range Rover,2016,Offroader / SUV,Yaş Asfalt,3.0,0.5549662972776355,Dizel,Avtomat,-0.37430981809798763,Xeyr,73000.0
BMW,430,2018,Liftbek,Gümüşü,2.0,0.5940362844372619,Benzin,Avtomat,-0.5270950735677238,Xeyr,25000.0
Mercedes,C 250,2012,Sedan,Qara,1.8,0.12519643852174495,Benzin,Avtomat,-0.5465087019628618,Xeyr,16300.0
BMW,328,2012,Sedan,Ağ,2.0,0.5256638069079157,Benzin,Avtomat,-0.13396909856617906,Xeyr,17411.764705882353
Hyundai,Santa Fe,2010,Offroader / SUV,Gümüşü,2.0,-0.0701534972763871,Dizel,Avtomat,0.12326147766939961,Xeyr,15235.29411764706
