,Mark,Model,Year,Body_type,Color,Capacity,HorsePowers,EngineType,Transmission,Mileage,Is_new,Price,Price_currency,Link
14029,Nissan,X-Trail,2010,Offroader / SUV,Yaş Asfalt,2.5,169,Benzin,Variator,170000,Xeyr,21500,AZN,https://turbo.az//autos/7433151-nissan-x-trail
14030,Mitsubishi,L200,2013,Pikap,Ağ,2.5,178,Dizel,Mexaniki,227000,Xeyr,31500,AZN,https://turbo.az//autos/7374863-mitsubishi-l200
14031,Mercedes,E 300 de,2021,Sedan,Qara,2.0,306,Plug-in Hibrid,Avtomat,32000,Xeyr,59500,USD,https://turbo.az//autos/7433150-mercedes-e-300-de
14032,LADA (VAZ),Priora,2018,Sedan,Ağ,1.6,106,Benzin,Mexaniki,50580,Xeyr,14900,AZN,https://turbo.az//autos/7413896-lada-vaz-priora
14033,Kia,Sorento,2023,Offroader / SUV,Yaş Asfalt,2.2,202,Dizel,Avtomat,0,Bəli,94900,AZN,https://turbo.az//autos/7249664-kia-sorento
14034,GAZ,Next C41RB3,2023,Yük maşını,Ağ,4.4,169,Dizel,Mexaniki,0,Bəli,71500,AZN,https://turbo.az//autos/7246706-gaz-next-c41rb3
14035,Mitsubishi,Airtrek,2001,Offroader / SUV,Gümüşü,2.4,139,Benzin,Avtomat,234234,Xeyr,6800,AZN,https://turbo.az//autos/7433147-mitsubishi-airtrek
14036,Toyota,Prius,2008,Liftbek,Yaş Asfalt,1.5,76,Hibrid,Variator,205000,Xeyr,14800,AZN,https://turbo.az//autos/7433149-toyota-prius
14037,GAZ,C41R92,2023,Yük maşını,Ağ,2.8,149,Dizel,Mexaniki,0,Bəli,46500,AZN,https://turbo.az//autos/7239190-gaz-c41r92
14038,Hyundai,Sonata,2007,Sedan,Qara,2.0,145,Dizel,Avtomat,226000,Xeyr,15500,AZN,https://turbo.az//autos/7417790-hyundai-sonata
14039,GAZ,Next A21R32-30,2023,Yük maşını,Ağ,2.8,149,Dizel,Mexaniki,0,Bəli,48500,AZN,https://turbo.az//autos/7246110-gaz-next-a21r32-30
14040,Zeekr,001,2022,Hetçbek,Ağ,0.0,268,Elektro,Avtomat,0,Bəli,55000,USD,https://turbo.az//autos/7253606-zeekr-001
14041,Mercedes,GLS 450,2022,Offroader / SUV,Qara,3.0,367,Benzin,Avtomat,0,Bəli,148500,USD,https://turbo.az//autos/6798255-mercedes-gls-450
14042,Chery,Tiggo 8 Pro e+,2023,Offroader / SUV,Qara,1.5,326,Plug-in Hibrid,Avtomat,0,Bəli,64900,AZN,https://turbo.az//autos/7179061-chery-tiggo-8-pro-e
14043,Mercedes,SL 63 AMG,2008,Rodster,Qara,6.2,525,Benzin,Avtomat,35500,Xeyr,100000,USD,https://turbo.az//autos/6884813-mercedes-sl-63-amg
14044,Toyota,Prius,2010,Liftbek,Gümüşü,1.8,99,Hibrid,Avtomat,201500,Xeyr,17800,AZN,https://turbo.az//autos/7401336-toyota-prius
14045,Yamaha,Drag Star XVS 650,2015,Motosiklet,Qara,0.7,650,Benzin,Mexaniki,15000,Xeyr,14500,AZN,https://turbo.az//autos/7391579-yamaha-drag-star-xvs-650
14046,Land Rover,RR Velar,2019,Offroader / SUV,Mavi,2.0,300,Benzin,Avtomat,35600,Xeyr,69900,USD,https://turbo.az//autos/7324495-land-rover-rr-velar
